Transaction_ID,Customer_ID,Customer_Name,Email,Order_Date,Delivery_Date,Product_Category,Region,Sales_Amount,Vendor_ID,Data_Status
T00000019,C164820,James Young,james.young@hotmail.com,2024-06-27,2024-07-08,Office,North,41.94,V9565,
T00000020,C887201,Olivia Thomas,olivia.thomas@outlook.com,2024-08-27,2024-09-06,Electronics,South,34.29,V2786,
T00000021,C421879,James Brown,james.brown@hotmail.com,2024-01-12,2024-01-17,Apparel,East,62.32,V2942,
T00000022,C818315,Noah Brown,noah.brown@hotmail.com,2024-10-29,2024-10-31,Home,South,103.85,V7786,
T00000023,C427069,Ava Harris,ava.harris@company.com,2024-08-21,2024-08-24,Sports,West,101.5,V2026,
T00000024,C876997,Isabella White,isabella.white@company.com,2024-07-01,2024-07-10,Apparel,East,152.7,V1636,
T00000025,C299041,David Thomas,david.thomas@hotmail.com,2024-10-08,2024-10-13,Home,East,25.53,V1297,
T00000026,C891743,Liam Walker,liam.walker@company.com,2024-12-23,2024-12-24,Apparel,South,66.64,V3511,
T00000027,C203355,Ava Smith,ava.smith@hotmail.com,2024-07-08,2024-07-13,Electronics,East,71.42,V4218,
T00000028,C335796,Ava Walker,ava.walker@yahoo.com,2024-11-21,2024-11-24,Sports,East,22.52,V6623,
T00000029,C314176,John Taylor,john.taylor@hotmail.com,2024-08-02,2024-08-03,Home,North,97.1,V4720,
T00000030,C284779,Sarah Lee,sarah.lee@gmail.com,2025-07-03,2024-09-17,Office,East,13.81,V8286,
T00000031,C447449,James Johnson,james.johnson@company.com,2024-01-26,2024-02-06,Sports,South,47.21,V5811,
T00000032,C521909,Ava Johnson,ava.johnson@company.com,2024-09-26,2024-10-02,Electronics,East,20.28,V1053,
T00000033,C358795,David Taylor,david.taylorgmail.com,2024-03-22,2024-04-01,Home,North,334.08,V3587,
T00000034,C586232,Sophia Taylor,sophia.taylor@outlook.com,2024-12-23,2024-12-28,Grocery,East,50.97,V4521,
T00000035,C600186,Isabella Walker,isabella.walker#yahoo,2024-07-03,2024-07-15,Apparel,North,96.54,V5335,
T00000036,C256730,Olivia Anderson,olivia.anderson@company.com,2024-10-14,2024-10-26,Home,North,55.48,V3303,
T00000037,C970910,Liam Allen,liam.allen@company.com,2024-03-02,2024-03-03,Beauty,West,35.71,V6275,
T00000038,C484681,Sarah Lee,sarah.lee@outlook.com,2024-01-30,2024-02-10,Apparel,South,106.09,V3146,
T00000039,C249503,Ethan Hall,ethan.hall@outlook.com,2024-01-31,2024-02-02,Sports,East,53.52,V9910,
T00000040,C754811,Mia Allen,mia.allen@hotmail.com,2024-10-19,2024-10-24,Beauty,West,26.85,V3427,
T00000041,C627035,Sophia Johnson,sophia.johnson@company.com,2024-06-21,2024-06-30,Apparel,South,37.34,V5669,
T00000042,C748143,Daniel Young,daniel.young@company.com,2024-04-11,2024-04-22,Apparel,East,29.9,V1416,
T00000043,C552366,Daniel Brown,daniel.brown@hotmail.com,2024-05-07,2024-05-21,Grocery,,51.75,V9361,
T00000044,C165725,Emma White,emma.white@company.com,2024-03-26,2024-04-07,Electronics,North,46.13,V9790,
T00000045,C229981,Daniel Brown,daniel.brown@gmail.com,2024-11-10,2024-11-22,Home,South,48.22,V7682,
T00000046,C184654,David Lee,david.lee@outlook.com,2024-01-28,2024-02-10,Sports,West,72.66,V3277,
T00000047,C691723,Ethan King,ethan.king@outlook.com,2024-05-01,2024-05-06,Electronics,South,272.99,V3981,
T00000048,C419030,Sophia Brown,sophia.brown@outlook.com,2024-09-07,2024-09-12,Grocery,North,57.07,V4075,
T00000049,C428947,James Lee,james.lee@yahoo.com,2024-03-01,2024-03-02,Home,East,33.48,V6173,
T00000050,C655839,Sophia King,sophia.king@gmail.com,2024-06-19,2024-06-24,Home,South,212.56,V3500,
T00000051,C373538,Ava Lee,ava.lee@gmail.com,2024-09-28,2024-10-06,Home,West,132.45,V7289,
T00000052,C431236,Isabella Brown,isabella.brown@hotmail.com,2024-11-20,2024-11-29,Office,East,75.96,V6368,
T00000053,C628178,Charlotte Johnson,charlotte.johnson@yahoo.com,2024-10-26,2024-11-05,Grocery,West,59.29,V2644,
T00000054,C665894,Ava Hall,ava.hallgmail.com,2025-09-04,2024-04-25,Home,North,69.21,V9977,
T00000055,C589492,James Walker,james.walker@gmail.com,2024-07-12,2024-07-16,Beauty,North,13.39,V6268,
T00000056,C356840,Daniel Smith,daniel.smith@yahoo.com,2024-01-19,2024-01-26,Apparel,South,20.94,V6678,
T00000057,C573254,Michael Anderson,michael.anderson@yahoo.com,2024-12-05,2024-12-12,Apparel,West,92.24,V5931,
T00000058,C449457,Michael Smith,michael.smith@gmail.com,2024-04-02,2024-04-03,Electronics,East,129.83,V5811,
T00000059,C765987,Ethan King,ethan.king@hotmail.com,2024-08-04,2024-08-15,Sports,West,18.46,V4160,
T00000060,C370936,James Jackson,james.jackson@yahoo.com,2024-06-27,2024-07-03,Grocery,North,32.27,V9976,
T00000061,C339931,Ava King,ava.king@outlook.com,2024-07-09,2024-07-22,Sports,East,36.65,V5604,
T00000062,C339629,Mia White,mia.white@yahoo.com,2024-06-11,2024-06-23,Home,East,31.11,V4634,
T00000063,C305041,David Martin,david.martin@company.com,2024-04-09,2024-04-23,Office,East,65.54,V7016,
T00000064,C798361,Mia Anderson,mia.anderson@gmail.com,2024-07-05,2024-07-14,Office,South,85.37,V8572,
T00000065,C831912,David Smith,david.smith@company.com,2024-10-21,2024-10-26,Beauty,East,29.62,V6411,
T00000066,C517113,Ava Anderson,ava.anderson@hotmail.com,2024-03-07,2024-03-15,Grocery,East,23.29,V7631,
T00000067,C168148,Olivia Young,olivia.younggmail.com,2024-03-13,,Electronics,South,26.97,V3490,
T00000068,C877089,Noah Walker,noah.walker@gmail.com,2024-08-19,2024-08-29,Electronics,North,41.59,V3249,
T00000069,C748531,John Lee,john.lee@yahoo.com,2024-07-07,2024-07-18,Electronics,South,141.6,V4690,
T00000070,C351995,James Smith,james.smith@outlook.com,2024-02-19,2024-02-28,Electronics,East,56.83,V3268,
T00000071,C778843,Liam Johnson,liam.johnson@yahoo.com,2024-11-04,2024-11-14,Home,East,173.7,V3679,
T00000072,C672843,Sarah Anderson,sarah.anderson@hotmail.com,2024-10-28,2024-11-07,Grocery,South,87.83,V1387,
T00000073,C356508,Isabella Martin,isabella.martin@gmail.com,2024-11-03,2024-11-16,Sports,,37.51,V4958,
T00000074,C903591,Charlotte Hall,charlotte.hall@hotmail.com,2024-05-03,2024-05-06,Beauty,South,59.22,V3435,
T00000075,C996942,James Smith,james.smith@hotmail.com,2024-06-05,2024-06-06,Home,South,39.85,V9352,
T00000076,C206530,Ava King,ava.king@hotmail.com,2024-09-17,2024-10-01,Home,East,28.32,V3701,
T00000077,C704365,John Smith,john.smith@hotmail.com,2024-07-13,2024-07-27,Apparel,West,45.4,V1495,
T00000078,C922352,Olivia Johnson,olivia.johnson@yahoo.com,2024-11-25,2024-11-27,Home,West,87.76,V3952,
T00000079,C560337,John Thomas,john.thomas@company.com,2024-12-16,2024-12-21,Sports,Westt,38.63,V4159,
T00000080,C824839,Isabella Johnson,isabella.johnson@yahoo.com,2024-11-26,2024-12-10,Beauty,North,47.34,V9280,
T00000081,C905889,Olivia Martin,olivia.martin@outlook.com,2024-09-12,2024-09-22,Home,North,38.3,V2158,
T00000082,C559773,Sophia Johnson,sophia.johnson@hotmail.com,2024-07-18,2024-07-25,Office,East,-122.83,V9155,
T00000083,C308261,Liam Harris,liam.harris@outlook.com,2024-03-08,2024-03-19,Apparel,East,49.02,V1260,
T00000084,C864469,Sophia Walker,sophia.walker@yahoo.com,2024-03-20,2024-03-26,Home,North,45.05,V5973,
T00000085,C441097,Ava Smith,ava.smith@hotmail.com,2024-08-20,2024-08-24,Grocery,East,45.7,V8926,
T00000086,C415139,James Allen,james.allen@yahoo.com,2024-07-04,2024-07-13,Grocery,South,66.45,V9441,
T00000087,C271829,Noah Martin,noah.martin@hotmail.com,2024-04-14,2024-04-26,Electronics,Westt,57.53,V6622,
T00000088,C371836,Olivia Allen,olivia.allen@yahoo.com,2024-11-20,2024-12-01,Home,West,97.27,V1595,
T00000089,C538974,Olivia Thomas,olivia.thomas@gmail.com,2024-05-21,2024-05-25,Apparel,North,43.38,V4700,
T00000090,C302283,Olivia Martin,olivia.martin@company.com,2024-09-28,2024-10-01,Apparel,North,158.27,V9282,
T00000091,C296769,James Walker,james.walker@company.com,2024-12-08,2024-12-19,Beauty,South,35.36,V6382,
T00000092,C661353,Michael Allen,,2024-05-03,,Home,North,58.74,V8828,
T00000093,C323165,Olivia Brown,olivia.brown@gmail.com,2024-08-10,2024-08-14,Sports,North,72.37,V8867,
T00000094,C723587,James King,james.king@outlook.com,2024-06-22,2024-06-24,Electronics,West,53.96,V6969,
T00000095,C635822,James White,james.white@gmail.com,2024-07-09,2024-07-12,Grocery,West,55.07,V3441,
T00000096,C587879,Sarah Harris,sarah.harris@hotmail.com,2024-05-19,2024-05-26,Beauty,East,32.2,V3469,
T00000097,C664685,Noah Anderson,noah.anderson@gmail.com,2024-10-23,2024-11-04,Sports,West,81.74,V1185,
T00000098,C882038,Daniel Martin,daniel.martin@outlook.com,2024-04-28,2024-04-30,Beauty,South,60.08,V2236,
T00000099,C453531,David Jackson,david.jackson@hotmail.com,2024-10-01,2024-10-02,Grocery,East,55.51,V4893,
T00000100,C363160,Liam Harris,liam.harris@company.com,2024-03-16,2024-03-18,Grocery,East,17.45,V5013,
T00000101,C679879,Ethan Taylor,ethan.taylor@gmail.com,2024-04-18,2024-04-30,Beauty,West,76.68,V1039,
T00000102,C320884,Sarah Harris,sarah.harris@company.com,2024-04-28,2024-05-06,Sports,South,79.51,V3199,
T00000103,C123247,Noah Johnson,noah.johnson@company.com,2024-09-14,2024-09-22,Beauty,West,10.43,V9505,
T00000104,C124300,Michael Martin,michael.martin@yahoo.com,2024-01-20,2024-02-01,Apparel,West,80.14,V6918,
T00000105,C567281,Sarah Brown,sarah.brown@outlook.com,2024-04-28,2024-05-08,Electronics,East,47.54,V4578,
T00000106,C707086,Olivia Brown,olivia.brown@gmail.com,2024-12-16,2024-12-18,Home,South,20.15,V1629,
T00000107,C633556,Ethan Martin,ethan.martin@company.com,2024-05-16,2024-05-22,Sports,West,30.56,V5273,
T00000108,C448951,Sophia Lee,sophia.lee@company.com,2024-10-03,2024-10-14,Electronics,North,26.0,V6257,
T00000109,C374329,Olivia Jackson,olivia.jackson@outlook.com,2024-09-11,2024-09-23,Home,North,32.8,V8251,
T00000110,C819064,Charlotte King,charlotte.king@company.com,2024-09-20,2024-10-01,Home,North,75.34,V7925,
T00000111,C842139,John Brown,john.brown@company.com,2024-06-15,2024-06-26,Home,East,77.69,V9463,
T00000112,C532315,Michael Johnson,michael.johnson@company.com,2024-06-13,2024-06-20,Office,West,77.23,V1837,
T00000113,C616588,James Harris,james.harris@company.com,2024-01-29,2024-01-30,Electronics,East,46.8,V3668,
T00000114,C336584,Emma Walker,emma.walker@yahoo.com,2024-02-04,2024-02-11,Sports,South,264.28,V2760,
T00000115,C662332,David Brown,david.brown@yahoo.com,2024-08-24,2024-09-05,Sports,West,12.51,V9680,
T00000116,C937646,Liam Harris,liam.harris@hotmail.com,2024-10-20,2024-10-31,Apparel,South,29.83,V1402,
T00000117,C476896,Isabella Taylor,isabella.taylor@gmail.com,2024-03-30,2024-04-07,Sports,West,63.55,V5612,
T00000118,C148984,David Smith,david.smith@outlook.com,2024-07-21,2024-07-30,Home,West,36.52,V3630,
T00000119,C402918,Liam Walker,liam.walker@hotmail.com,2024-08-15,2024-08-29,Home,,46.28,V8649,
T00000120,C364712,Ethan Hall,ethan.hall@yahoo.com,2024-03-08,2024-03-16,Home,North,56.06,V8443,
T00000121,C220151,Sarah Walker,sarah.walker@yahoo.com,2024-05-10,2024-05-13,Grocery,Northh,45.73,V3446,
T00000122,C555808,Noah Harris,noah.harris@yahoo.com,2024-12-30,2025-01-07,Grocery,East,23.87,V6669,
T00000123,C233767,Sarah Anderson,sarah.anderson@hotmail.com,2024-04-20,2024-04-23,Grocery,West,89.71,V8296,
T00000124,C748663,Noah King,noah.king@yahoo.com,2026-02-27,2024-01-18,Office,North,90.07,V9821,
T00000125,C803550,Charlotte White,charlotte.white@hotmail.com,2024-10-14,2024-10-18,Electronics,South,140.69,V8764,
T00000126,C236330,Michael Thomas,michael.thomas@yahoo.com,2024-06-23,2024-06-30,Home,East,17.63,V7268,
T00000127,C580754,Emma Lee,emma.lee@company.com,2024-11-14,2024-11-22,Office,South,86.63,V5989,
T00000128,C401648,James Martin,james.martin@company.com,2024-06-02,2024-06-12,Sports,East,32.53,V9267,
T00000129,C788519,Isabella Hall,isabella.hall@gmail.com,2024-02-12,,Home,East,50.73,V2306,
T00000130,C113986,Michael King,michael.king@yahoo.com,2024-12-28,2025-01-07,Sports,South,36.93,V9984,
T00000131,C686146,Olivia Young,olivia.young@gmail.com,2024-07-23,2024-07-27,Apparel,West,30.74,V1346,
T00000132,C229312,Mia Young,mia.young@hotmail.com,2024-06-20,2024-06-28,Beauty,East,79.28,V6036,
T00000133,C112666,Ava Harris,ava.harris@gmail.com,2024-10-20,2024-10-27,Home,East,149.58,V3177,
T00000134,C400804,Liam King,liam.king@yahoo.com,2024-10-11,2024-10-21,Beauty,North,178.34,V9853,
T00000135,C234633,Ava Smith,ava.smith@hotmail.com,2024-11-06,2024-11-14,Sports,South,101.64,V2168,
T00000136,C388998,Charlotte King,charlotte.king@hotmail.com,2024-02-21,2024-03-05,Grocery,East,27.97,V2015,
T00000137,C950937,Charlotte Brown,charlotte.brown@company.com,2024-04-24,,Apparel,North,50.5,V1484,
T00000138,C728776,Sarah White,sarah.white@hotmail.com,2024-01-19,2024-01-26,Sports,Westt,52.84,V7721,
T00000139,C807611,James Johnson,james.johnson@hotmail.com,2024-02-04,2024-02-18,Beauty,North,75.16,V1665,
T00000140,C384806,Olivia Young,olivia.young@gmail.com,2024-02-17,2024-02-20,Sports,North,84.85,V3599,
T00000141,C894824,Michael White,michael.white@hotmail.com,2024-08-20,2024-08-23,Home,South,41.34,V2194,
T00000142,C130535,Ava Hall,ava.hall@outlook.com,2024-08-06,2024-08-15,Grocery,North,115.65,V1299,
T00000143,C475713,Michael Martin,michael.martin@company.com,2024-04-19,2024-05-03,Home,North,224.08,V1951,
T00000144,C938688,Isabella King,isabella.king@company.com,2024-09-10,2024-09-17,Electronics,South,67.69,V6080,
T00000145,C451279,Daniel King,daniel.king@hotmail.com,2024-07-06,2024-07-18,Sports,East,38.88,V2830,
T00000146,C921654,,john.anderson@gmail.com,2024-01-31,2024-02-01,Electronics,South,104.04,V8139,
T00000147,C701661,Michael Thomas,michael.thomas@company.com,2024-09-15,2024-09-18,Apparel,North,106.46,V5875,
T00000148,C747972,Ava Johnson,ava.johnson@company.com,2024-06-11,2024-06-22,Apparel,North,82.87,V1532,
T00000149,C589570,Daniel Thomas,daniel.thomas@outlook.com,2024-12-09,2024-12-10,Home,East,54.48,V3134,
T00000150,C556551,James Anderson,james.anderson@hotmail.com,2024-11-03,2024-11-09,Apparel,East,126.89,V6521,
T00000151,C373109,Daniel Smith,daniel.smith@company.com,2024-03-11,2024-03-24,Electronics,West,30.66,V5876,
T00000152,C124538,David Lee,david.lee@company.com,2024-11-02,2024-11-04,Sports,East,52.52,V8954,
T00000153,C994498,Ava Lee,ava.lee@company.com,2024-02-25,2024-03-03,Home,East,171.15,V5653,
T00000154,C301664,Olivia Jackson,olivia.jackson@company.com,2024-04-08,2024-04-16,Home,West,53.9,V5719,
T00000155,C591234,Charlotte Walker,charlotte.walker@gmail.com,2024-01-21,2024-02-03,Office,North,55.5,V7049,
T00000156,C999684,Emma Walker,emma.walker@yahoo.com,2024-04-17,2024-04-30,Home,North,62.28,V2152,
T00000157,C239182,Noah Smith,noah.smith@outlook.com,2024-02-22,2024-03-06,Sports,South,-31.63,V3488,
T00000158,C572525,Ethan Lee,ethan.lee@gmail.com,2024-01-06,2024-01-12,Apparel,East,27.49,V4181,
T00000159,C258338,Sophia Martin,sophia.martin@outlook.com,2024-08-18,2024-08-23,Beauty,North,39.59,V9323,
T00000160,C284064,Emma Brown,emma.brown@company.com,2024-03-22,2024-04-01,Sports,South,48.89,V6604,
T00000161,C314020,Mia Jackson,mia.jackson@outlook.com,2024-08-04,2024-08-08,Apparel,North,110.49,V6194,
T00000162,C723094,Mia Johnson,mia.johnson@hotmail.com,2024-11-30,2024-12-09,Sports,East,63.91,V3983,
T00000163,C997421,Sophia Allen,sophia.allen@hotmail.com,2024-02-16,2024-02-24,Beauty,South,135.76,V9244,
T00000164,C715270,Olivia Jackson,olivia.jackson@yahoo.com,2024-12-17,2024-12-22,Home,West,75.35,V7182,
T00000165,C745914,Isabella Anderson,isabella.anderson@yahoo.com,2024-12-27,,Sports,North,91.77,V8458,
T00000166,C219176,Daniel Anderson,daniel.anderson@outlook.com,2024-08-28,2024-08-29,Apparel,West,79.78,V2505,
T00000167,C318126,Liam Anderson,liam.anderson@gmail.com,2024-06-26,2024-07-04,Sports,South,141.66,V5433,
T00000168,C318969,Michael Lee,michael.lee@gmail.com,2024-03-22,2024-03-30,Beauty,West,56.57,V7537,
T00000169,C222409,John Johnson,john.johnson@company.com,2024-10-13,2024-10-20,Apparel,West,57.73,V6115,
T00000170,C647707,Sophia Young,sophia.young@gmail.com,2024-07-10,2024-07-17,Sports,North,28.87,V7458,
T00000171,C353618,John Jackson,john.jackson@yahoo.com,2024-05-22,2024-05-30,Office,North,93.29,V3880,
T00000172,C869598,Isabella Allen,isabella.allen@gmail.com,2024-11-09,2024-11-10,Apparel,East,40.69,V8373,
T00000173,C150015,David Brown,david.brown@company.com,2024-10-05,2024-10-17,Office,North,84.53,V5352,
T00000174,C872838,Mia Walker,mia.walker@hotmail.com,2024-02-10,2024-02-13,Apparel,West,61.28,V4384,
T00000175,C222096,Ethan Lee,ethan.lee@gmail.com,2024-09-27,2024-10-01,Office,North,27.41,V9059,
T00000176,C731347,James Harris,james.harris@gmail.com,2024-03-27,2024-04-07,Electronics,South,57.86,V7722,
T00000177,C285340,Sarah White,sarah.white@yahoo.com,2024-01-03,2024-01-09,Electronics,North,42.23,V1822,
T00000178,C210687,Daniel Lee,daniel.lee@outlook.com,2024-07-29,2024-08-08,Electronics,South,23.16,V8253,
T00000179,C974371,Michael Johnson,michael.johnson@hotmail.com,2024-01-01,2024-01-13,Office,East,66.77,V9808,
T00000180,C511357,James Anderson,james.anderson@outlook.com,2024-03-15,2024-03-25,Home,East,152.62,V4613,
T00000181,C835716,,david.martin@company.com,2024-08-18,2024-08-27,Beauty,East,30.42,V5351,
T00000182,C205878,David Taylor,david.taylor@company.com,2024-03-16,2024-03-20,Office,West,10.95,V9408,
T00000183,C827270,Noah Anderson,noah.anderson@outlook.com,2024-09-16,2024-09-22,Electronics,North,185.54,V6528,
T00000184,C298286,Noah Taylor,noah.taylor@yahoo.com,2024-01-25,2024-02-03,Home,West,20.8,V9641,
T00000185,C873290,Ethan Hall,ethan.hall@yahoo.com,2024-07-18,2024-08-01,Beauty,South,157.59,V8841,
T00000186,C874684,Olivia Taylor,olivia.taylor@yahoo.com,2024-04-03,2024-04-17,Home,North,120.58,V4765,
T00000187,C264899,Sarah Harris,sarah.harris@hotmail.com,2024-12-17,2024-12-30,Electronics,South,57.4,V9849,
T00000188,C424767,Sarah Harris,sarah.harris@company.com,2024-04-17,2024-04-26,Beauty,West,37.15,V9975,
T00000189,C961882,Charlotte Martin,charlotte.martin@company.com,2024-12-20,2024-12-26,Home,East,108.35,V8351,
T00000190,C979858,Olivia Harris,olivia.harrisgmail.com,2024-04-04,,Electronics,East,60.2,V5598,
T00000191,C479989,Daniel Brown,daniel.brown@hotmail.com,2024-12-21,2024-12-24,Electronics,East,164.93,V2868,
T00000192,C515515,John Smith,john.smith@company.com,2024-03-31,2024-04-05,Apparel,South,-75.47,V6793,
T00000193,C143585,Michael Anderson,michael.anderson@outlook.com,2024-02-13,2024-02-16,Home,South,158.19,V9567,
T00000194,C471369,Noah Brown,noah.brown@gmail.com,2024-01-23,2024-01-28,Electronics,North,88.54,V9251,
T00000195,C164044,Mia King,mia.king@hotmail.com,2024-07-08,2024-07-21,Apparel,South,120.9,V7731,
T00000196,C542296,Daniel Harris,daniel.harris@gmail.com,2024-01-23,2024-02-02,Sports,East,67.95,V8588,
T00000197,C209556,Michael Brown,michael.brown@outlook.com,2024-08-21,2024-08-31,Office,East,52.79,V1656,
T00000198,C626981,Mia Allen,,2024-07-04,2024-07-05,Sports,North,42.49,V9142,
T00000199,C981691,David Johnson,david.johnson@yahoo.com,2024-11-06,2024-11-12,Sports,,31.61,V8341,
T00000200,C867595,Olivia Jackson,olivia.jackson@yahoo.com,2024-11-28,2024-12-05,Beauty,South,51.02,V4984,
T00000201,C300235,Noah Harris,noah.harris@hotmail.com,2024-03-03,2024-03-05,Beauty,East,29.93,V4210,
T00000202,C125939,,ethan.thomas@yahoo.com,2024-04-12,2024-04-15,Grocery,East,42.74,V6293,
T00000203,C252906,Michael Walker,michael.walker@hotmail.com,2024-11-11,2024-11-21,Office,East,62.8,V6151,
T00000204,C642335,David Taylor,david.taylor@hotmail.com,2024-07-07,,Beauty,East,74.99,V8787,
T00000205,C388249,Ethan Anderson,ethan.anderson@gmail.com,2024-12-01,,Home,South,124.25,V4763,
T00000206,C175766,Sophia White,sophia.white@yahoo.com,2024-07-07,2024-07-11,Sports,West,63.59,V4435,
T00000207,C508923,Olivia Smith,olivia.smith@company.com,2024-12-16,2024-12-27,Electronics,West,73.04,V2650,
T00000208,C515192,Sophia White,sophia.white@yahoo.com,2024-03-09,2024-03-21,Grocery,North,48.12,V8610,
T00000209,C668550,Sarah Taylor,sarah.taylor@yahoo.com,2024-04-23,2024-05-01,Beauty,East,54.85,V1249,
T00000210,C487261,Mia King,mia.king@yahoo.com,2024-04-13,2024-04-24,Home,West,57.17,V1073,
T00000211,C910208,Sarah Taylor,sarah.taylor@company.com,2024-04-17,2024-04-25,Apparel,South,192.79,V6499,
T00000212,C785440,Mia Hall,mia.hall@company.com,2024-12-10,2024-12-24,Electronics,Westt,70.38,V9975,
T00000213,C752664,Noah Martin,noah.martin@hotmail.com,2024-01-21,2024-01-27,Electronics,North,26.72,V5874,
T00000214,C554589,James Harris,james.harris@company.com,2024-09-22,,Apparel,East,62.78,V7967,
T00000215,C237848,Isabella King,isabella.king@hotmail.com,2024-12-08,2024-12-09,Beauty,South,32.84,V4943,
T00000216,C717075,Charlotte Allen,charlotte.allen@gmail.com,2024-07-27,2024-07-29,Electronics,South,36.96,V2425,
T00000217,C227948,,sophia.king@hotmail.com,2024-06-18,2024-06-22,Grocery,West,56.32,V5902,
T00000218,C679304,Ethan Walker,ethan.walker@yahoo.com,2024-07-12,,Home,South,71.31,V3695,
T00000219,C502690,Daniel White,,2024-12-12,2024-12-14,Apparel,North,68.7,V3692,
T00000220,C599046,Sarah Jackson,sarah.jackson@outlook.com,2024-05-02,2024-05-11,Home,East,36.48,V8514,
T00000221,C551269,Charlotte Johnson,charlotte.johnson@yahoo.com,2024-06-25,2024-06-27,Electronics,West,21.74,V5868,
T00000222,C121959,Noah Walker,noah.walker@hotmail.com,2024-01-04,2024-01-17,Office,North,50.52,V5626,
T00000223,C760890,Liam King,liam.king@yahoo.com,2024-07-06,2024-07-19,Home,South,-52.52,V3000,
T00000224,C850216,Sarah Young,sarah.young@company.com,2024-12-11,2024-12-17,Electronics,South,51.78,V1380,
T00000225,C890180,Emma Smith,,2024-12-17,2024-12-22,Electronics,West,62.05,V5156,
T00000226,C328576,Ethan Anderson,ethan.anderson@yahoo.com,2024-01-29,2024-02-02,Apparel,South,42.28,V6933,
T00000227,C637833,Olivia King,olivia.king@company.com,2024-03-26,2024-04-01,Beauty,,94.48,V2980,
T00000228,C265838,Daniel Martin,daniel.martin@company.com,2024-02-16,2024-02-20,Home,South,81.71,V3235,
T00000229,C435674,Sophia Johnson,sophia.johnson@hotmail.com,2024-03-17,2024-03-26,Beauty,South,89.45,V3433,
T00000230,C979989,John Johnson,john.johnson@gmail.com,2024-12-08,2024-12-19,Sports,North,131.66,V7141,
T00000231,C161087,James Taylor,james.taylor@gmail.com,2024-07-09,2024-07-19,Sports,West,72.6,V6054,
T00000232,C693128,,ava.anderson@company.com,2024-01-31,2024-02-07,Home,West,56.38,V6446,
T00000233,C218451,Mia Jackson,mia.jackson@gmail.com,2026-03-28,2024-11-05,Sports,West,51.41,V1113,
T00000234,C547600,Charlotte Brown,charlotte.brown@company.com,2024-06-17,2024-06-29,Electronics,South,83.26,V9399,
T00000235,C937437,Charlotte Martin,charlotte.martin@gmail.com,2024-02-05,2024-02-15,Home,North,57.18,V1454,
T00000236,C539792,Sarah Hall,sarah.hall@company.com,2024-09-01,2024-09-05,Electronics,North,18.21,V8019,
T00000237,C139353,James Anderson,james.anderson@company.com,2024-12-16,2024-12-17,Apparel,South,38.22,V9793,
T00000238,C293075,Isabella Young,isabella.young@company.com,2024-07-06,2024-07-12,Beauty,West,132.45,V8311,
T00000239,C314283,John Smith,john.smith@company.com,2024-01-15,2024-01-17,Sports,West,17.9,V2581,
T00000240,C414877,Daniel Anderson,daniel.anderson@outlook.com,2024-11-29,2024-12-03,Electronics,West,67.1,V2126,
T00000241,C165318,John Jackson,john.jackson@gmail.com,2024-08-03,2024-08-16,Apparel,North,75.85,V8773,
T00000242,C865313,Daniel Lee,daniel.lee@company.com,2024-06-06,2024-06-11,Grocery,East,51.83,V8231,
